,New (Shinjitai),Radical,Strokes,Grade,English meaning,Readings
66,入,入,2,1,enter,"ニュウ、い-る、い-れる、はい-る
nyū, i-ru, i-reru, hai-ru"
67,年,干,6,1,year,"ネン、とし
nen, toshi"
68,白,白,5,1,white,"ハク、ビャク、しろ、（しら）、しろ-い
haku, byaku, shiro, (shira), shiro-i"
69,八,八,2,1,eight,"ハチ、や、や-つ、やっ-つ、（よう）
hachi, ya, ya-tsu, ya'-tsu, (yō)"
70,百,白,6,1,hundred,"ヒャク
hyaku"
71,文,文,4,1,writing,"ブン、モン、ふみ
bun, mon, fumi"
72,木,木,4,1,tree,"ボク、モク、き、（こ）
boku, moku, ki, (ko)"
73,本,木,5,1,book,"ホン、もと
hon, moto"
74,名,口,6,1,name,"メイ、ミョウ、な
mei, myō, na"
75,目,目,5,1,eye,"モク、（ボク）、め、（ま）
moku, (boku), me, (ma)"
76,立,立,5,1,stand up,"リツ、（リュウ）、た-つ、た-てる
ritsu, (ryū), ta-tsu, ta-teru"
77,力,力,2,1,power,"リョク、リキ、ちから
ryoku, riki, chikara"
78,林,木,8,1,woods,"リン、はやし
rin, hayashi"
79,六,八,4,1,six,"ロク、む、む-つ、むっ-つ、（むい）
roku, mu, mu-tsu, mu'-tsu, (mui)"
80,引,弓,4,2,pull,"イン、ひ-く、ひ-ける
in, hi-ku, hi-keru"
81,羽,羽,6,2,feather,"ウ、は、はね
u, ha, hane"
82,雲,雨,12,2,cloud,"ウン、くも
un, kumo"
83,園,囗,13,2,garden,"エン、その
en, sono"
84,遠,辵,13,2,far,"エン、（オン）、とお-い
en, (on), too-i"
85,何,人,7,2,what,"カ、なに、（なん）
ka, nani, (nan)"
86,科,禾,9,2,section,"カ
ka"
87,夏,夊,10,2,summer,"カ、（ゲ）、なつ
ka, (ge), natsu"
88,家,宀,10,2,house,"カ、ケ、いえ、や
ka, ke, ie, ya"
89,歌,欠,14,2,song,"カ、うた、うた-う
ka, uta, uta-u"
90,画,田,8,2,tableau,"ガ、カク
ga, kaku"
91,回,囗,6,2,times,"カイ、（エ）、まわ-る、まわ-す
kai, (e), mawa-ru, mawa-su"
92,会,曰,6,2,association,"カイ、エ、あ-う
kai, e, a-u"
93,海,水,9,2,sea,"カイ、うみ
kai, umi"
94,絵,糸,12,2,picture,"カイ、エ
kai, e"
95,外,夕,5,2,outside,"ガイ、ゲ、そと、ほか、はず-す、はず-れる
gai, ge, soto, hoka, hazu-su, hazu-reru"
96,角,角,7,2,angle,"カク、かど、つの
kaku, kado, tsuno"
97,楽,木,13,2,pleasure,"ガク、ラク、たの-しい、たの-しむ
gaku, raku, tano-shii, tano-shimu"
98,活,水,9,2,active,"カツ
katsu"
99,間,門,12,2,interval,"カン、ケン、あいだ、ま
kan, ken, aida, ma"
100,丸,丶,3,2,circle,"ガン、まる、まる-い、まる-める
gan, maru, maru-i, maru-meru"
101,岩,山,8,2,boulder,"ガン、いわ
gan, iwa"
102,顔,頁,18,2,face,"ガン、かお
gan, kao"
103,汽,水,7,2,steam,"キ
ki"
104,記,言,10,2,write down,"キ、しる-す
ki, shiru-su"
105,帰,止,10,2,return,"キ、かえ-る、かえ-す
ki, kae-ru, kae-su"
106,弓,弓,3,2,"bow (archery, violin)","キュウ、ゆみ
kyū, yumi"
107,牛,牛,4,2,cow,"ギュウ、うし
gyū, ushi"
108,魚,魚,11,2,fish,"ギョ、うお、さかな
gyo, uo, sakana"
109,京,亠,8,2,capital,"キョウ、ケイ
kyō, kei"
110,強,弓,11,2,strong,"キョウ、ゴウ、つよ-い、つよ-まる、つよ-める、し-いる
kyō, gō, tsuyo-i, tsuyo-maru, tsuyo-meru, shi-iru"
111,教,攴,11,2,teach,"キョウ、おし-える、おそ-わる
kyō, oshi-eru, oso-waru"
112,近,辵,7,2,near,"キン、ちか-い
kin, chika-i"
