,New (Shinjitai),Radical,Strokes,Grade,English meaning,Readings
988,幕,巾,13,6,curtain,"マク、バク
maku, baku"
989,密,宀,11,6,secrecy,"ミツ
mitsu"
990,盟,皿,13,6,alliance,"メイ
mei"
991,模,木,14,6,imitation,"モ、ボ
mo, bo"
992,訳,言,11,6,translate,"ヤク、わけ
yaku, wake"
993,郵,邑,11,6,mail,"ユウ
yū"
994,優,人,17,6,superior,"ユウ、やさ-しい、すぐ-れる
yū, yasa-shii, sugu-reru"
995,幼,幺,5,6,infancy,"ヨウ、おさな-い
yō, osana-i"
996,欲,欠,11,6,longing,"ヨク、ほっ-する、ほ-しい
yoku, ho'-suru, ho-shii"
997,翌,羽,11,6,the following,"ヨク
yoku"
998,乱,乙,7,6,riot,"ラン、みだ-れる、みだ-す
ran, mida-reru, mida-su"
999,卵,卩,7,6,egg,"ラン、たまご
ran, tamago"
1000,覧,見,17,6,perusal,"ラン
ran"
1001,裏,衣,13,6,back,"リ、うら
ri, ura"
1002,律,彳,9,6,law,"リツ、（リチ）
ritsu, (richi)"
1003,臨,臣,18,6,look to,"リン、のぞ-む
rin, nozo-mu"
1004,朗,月,10,6,melodious,"ロウ、ほが-らか
rō, hoga-raka"
1005,論,言,15,6,theory,"ロン
ron"
1006,亜,二,7,S,sub-,"ア
a"
1007,哀,口,9,S,pathetic,"アイ、あわ-れ、あわ-れむ
ai, awa-re, awa-remu"
1008,挨,手,10,S,push open,"アイ
ai"
1009,曖,日,17,S,not clear,"アイ
ai"
1010,握,手,12,S,grip,"アク、にぎ-る
aku, nigi-ru"
1011,扱,手,6,S,handle,"あつか-う
atsuka-u"
1012,宛,宀,8,S,allocate,"あ-てる
a-teru"
1013,嵐,山,12,S,storm,"あらし
arashi"
1014,依,人,8,S,reliant,"イ、（エ）
i, (e)"
1015,威,女,9,S,intimidate,"イ
i"
1016,為,爪,9,S,do,"イ
i"
1017,畏,田,9,S,fear,"イ、おそ-れる
i, oso-reru"
1018,尉,寸,11,S,military officer,"イ
i"
1019,萎,艸,11,S,wither,"イ、な-える
i, na-eru"
1020,偉,人,12,S,admirable,"イ、えら-い
i, era-i"
1021,椅,木,12,S,chair,"イ
i"
1022,彙,彐,13,S,same kind,"イ
i"
1023,違,辵,13,S,differ,"イ、ちが-う、ちが-える
i, chiga-u, chiga-eru"
1024,維,糸,14,S,fiber,"イ
i"
1025,慰,心,15,S,consolation,"イ、なぐさ-める、なぐさ-む
i, nagusa-meru, nagusa-mu"
1026,緯,糸,16,S,horizontal,"イ
i"
1027,壱,士,7,S,one (falsification prevention),"イチ
ichi"
1028,逸,辵,11,S,deviate,"イツ
itsu"
1029,茨 [5],艸,9,S,thorn,"（いばら）[6]
(ibara)"
1030,芋,艸,6,S,potato,"いも
imo"
1031,咽,口,9,S,throat,"イン
in"
1032,姻,女,9,S,matrimony,"イン
in"
1033,淫 [7],水,11,S,lewdness,"イン、みだ-ら
in, mida-ra"
1034,陰,阜,11,S,shade,"イン、かげ、かげ-る
in, kage, kage-ru"
1035,隠,阜,14,S,conceal,"イン、かく-す、かく-れる
in, kaku-su, kaku-reru"
1036,韻,音,19,S,rhyme,"イン
in"
1037,唄,口,10,S,song,"（うた）
(uta)"
1038,鬱,鬯,29,S,gloom,"ウツ
utsu"
1039,畝,田,10,S,furrow,"うね
une"
1040,浦,水,10,S,bay,"うら
ura"
1041,詠,言,12,S,recitation,"エイ、よ-む
ei, yo-mu"
1042,影,彡,15,S,shadow,"エイ、かげ
ei, kage"
1043,鋭,金,15,S,pointed,"エイ、するど-い
ei, surudo-i"
1044,疫,疒,9,S,epidemic,"エキ、（ヤク）
eki, (yaku)"
1045,悦,心,10,S,ecstasy,"エツ
etsu"
1046,越,走,12,S,cross over,"エツ、こ-す、こ-える
etsu, ko-su, ko-eru"
1047,謁,言,15,S,audience,"エツ
etsu"
1048,閲,門,15,S,review,"エツ
etsu"
1049,炎,火,8,S,inflammation,"エン、ほのお
en, honoo"
1050,怨,心,9,S,grudge,"エン、オン
en, on"
1051,宴,宀,10,S,banquet,"エン
en"
1052,媛,女,12,S,princess,"エン
en"
1053,援,手,12,S,aid,"エン
en"
1054,煙,火,13,S,smoke,"エン、けむ-る、けむり、けむ-い
en, kemu-ru, kemuri, kemu-i"
1055,猿,犬,13,S,monkey,"エン、さる
en, saru"
1056,鉛,金,13,S,lead,"エン、なまり
en, namari"
1057,縁,糸,15,S,affinity,"エン、ふち
en, fuchi"
1058,艶,色,19,S,glossy,"エン、つや
en, tsuya"
1059,汚,水,6,S,dirty,"オ、けが-す、けが-れる、けが-らわしい、よご-す、よご-れる、きたな-い
o, kega-su, kega-reru, kega-rawashii, yogo-su, yogo-reru, kitana-i"
1060,凹,凵,5,S,concave,"オウ
ō"
1061,押,手,8,S,push,"オウ、お-す、お-さえる
ō, o-su, o-saeru"
1062,旺,日,8,S,flourishing,"オウ
ō"
1063,欧,欠,8,S,Europe,"オウ
ō"
1064,殴,殳,8,S,assault,"オウ、なぐ-る
ō, nagu-ru"
1065,翁,羽,10,S,venerable old man,"オウ
ō"
1066,奥,大,12,S,heart,"オウ、おく
ō, oku"
1067,岡,山,8,S,hill,"（おか）[6]
(oka)"
1068,憶,心,16,S,recollection,"オク
oku"
1069,臆,肉,17,S,timidity,"オク
oku"
1070,虞,虍,13,S,uneasiness,"おそれ
osore"
1071,乙,乙,1,S,the latter,"オツ
otsu"
1072,俺,人,10,S,"I, we","おれ
ore"
1073,卸,卩,9,S,wholesale,"おろ-す、おろし
oro-su, oroshi"
1074,穏,禾,16,S,calm,"オン、おだ-やか
on, oda-yaka"
1075,佳,人,8,S,excellent,"カ
ka"
1076,苛,艸,8,S,torment,"カ
ka"
1077,架,木,9,S,rack,"カ、か-ける、か-かる
ka, ka-keru, ka-karu"
1078,華,艸,10,S,splendor,"カ、（ケ）、はな
ka, (ke), hana"
1079,菓,艸,11,S,confectionery,"カ
ka"
1080,渦,水,12,S,whirlpool,"カ、うず
ka, uzu"
1081,嫁,女,13,S,marry into,"カ、よめ、とつ-ぐ
ka, yome, totsu-gu"
1082,暇,日,13,S,spare time,"カ、ひま
ka, hima"
1083,禍,示,13,S,calamity,"カ
ka"
1084,靴,革,13,S,shoes,"カ、くつ
ka, kutsu"
1085,寡,宀,14,S,widow,"カ
ka"
1086,箇,竹,14,S,counters for things,"カ
ka"
1087,稼,禾,15,S,earnings,"カ、かせ-ぐ
ka, kase-gu"
1088,蚊,虫,10,S,mosquito,"か
ka"
1089,牙 [5],牙,4,S,tusk,"ガ、（ゲ）、きば
ga, (ge), kiba"
1090,瓦,瓦,5,S,tile,"ガ、かわら
ga, kawara"
1091,雅,隹,13,S,gracious,"ガ
ga"
1092,餓,食,15,S,starve,"ガ
ga"
1093,介,人,4,S,jammed in,"カイ
kai"
1094,戒,戈,7,S,commandment,"カイ、いまし-める
kai, imashi-meru"
1095,怪,心,8,S,suspicious,"カイ、あや-しい、あや-しむ
kai, aya-shii, aya-shimu"
1096,拐,手,8,S,kidnap,"カイ
kai"
1097,悔,心,9,S,repent,"カイ、く-いる、く-やむ、くや-しい
kai, ku-iru, ku-yamu, kuya-shii"
1098,皆,白,9,S,all,"カイ、みな
kai, mina"
1099,塊,土,13,S,clod,"カイ、かたまり
kai, katamari"
1100,楷,木,13,S,square character style,"カイ
kai"
1101,潰,水,15,S,crush,"カイ、つぶ-す、つぶ-れる
kai, tsubu-su, tsubu-reru"
1102,壊,土,16,S,demolition,"カイ、こわ-す、こわ-れる
kai, kowa-su, kowa-reru"
1103,懐,心,16,S,pocket,"カイ、ふところ、なつ-かしい、なつ-かしむ、なつ-く、なつ-ける
kai, futokoro, natsu-kashii, natsu-kashimu, natsu-ku, natsu-keru"
1104,諧,言,16,S,harmony,"カイ
kai"
1105,劾,力,8,S,censure,"ガイ
gai"
1106,崖,山,11,S,cliff,"ガイ、がけ
gai, gake"
1107,涯,水,11,S,horizon,"ガイ
gai"
1108,慨,心,13,S,rue,"ガイ
gai"
1109,蓋,艸,13,S,cover,"ガイ、ふた
gai, futa"
1110,該,言,13,S,above-stated,"ガイ
gai"
1111,概,木,14,S,outline,"ガイ
gai"
1112,骸,骨,16,S,dead remains,"ガイ
gai"
1113,垣,土,9,S,hedge,"かき
kaki"
1114,柿,木,9,S,persimmon,"かき
kaki"
1115,核,木,10,S,nucleus,"カク
kaku"
1116,殻,殳,11,S,husk,"カク、から
kaku, kara"
1117,郭,邑,11,S,enclosure,"カク
kaku"
1118,較,車,13,S,contrast,"カク
kaku"
1119,隔,阜,13,S,isolate,"カク、へだ-てる、へだ-たる
kaku, heda-teru, heda-taru"
1120,獲,犬,16,S,seize,"カク、え-る
kaku, e-ru"
1121,嚇,口,17,S,menacing,"カク
kaku"
1122,穫,禾,18,S,harvest,"カク
kaku"
1123,岳,山,8,S,point,"ガク、たけ
gaku, take"
1124,顎,頁,18,S,jaw,"ガク、あご
gaku, ago"
1125,掛,手,11,S,hang,"か-ける、か-かる、かかり
ka-keru, ka-karu, kakari"
1126,潟,水,15,S,lagoon,"かた
kata"
1127,括,手,9,S,fasten,"カツ
katsu"
1128,喝,口,11,S,hoarse,"カツ
katsu"
1129,渇,水,11,S,thirst,"カツ、かわ-く
katsu, kawa-ku"
1130,葛 [7],艸,12,S,arrowroot,"カツ、くず
katsu, kuzu"
1131,滑,水,13,S,slippery,"カツ、コツ、すべ-る、なめ-らか
katsu, kotsu, sube-ru, name-raka"
1132,褐,衣,13,S,brown,"カツ
katsu"
1133,轄,車,17,S,control,"カツ
katsu"
1134,且,一,5,S,moreover,"か-つ
ka-tsu"
1135,釜,金,10,S,kettle,"かま
kama"
1136,鎌,金,18,S,sickle,"かま
kama"
1137,刈,刀,4,S,reap,"か-る
ka-ru"
1138,甘,甘,5,S,sweet,"カン、あま-い、あま-える、あま-やかす
kan, ama-i, ama-eru, ama-yakasu"
1139,汗,水,6,S,sweat,"カン、あせ
kan, ase"
1140,缶,缶,6,S,tin can,"カン
kan"
1141,肝,肉,7,S,liver,"カン、きも
kan, kimo"
1142,冠,冖,9,S,crown,"カン、かんむり
kan, kanmuri"
1143,陥,阜,10,S,collapse,"カン、おちい-る、おとしい-れる
kan, ochii-ru, otoshii-reru"
1144,乾,乙,11,S,dry,"カン、かわ-く、かわ-かす
kan, kawa-ku, kawa-kasu"
1145,勘,力,11,S,intuition,"カン
kan"
1146,患,心,11,S,afflicted,"カン、わずら-う
kan, wazura-u"
1147,貫,貝,11,S,pierce,"カン、つらぬ-く
kan, tsuranu-ku"
1148,喚,口,12,S,yell,"カン
kan"
1149,堪,土,12,S,withstand,"カン、た-える
kan, ta-eru"
1150,換,手,12,S,interchange,"カン、か-える、か-わる
kan, ka-eru, ka-waru"
1151,敢,攴,12,S,daring,"カン
kan"
1152,棺,木,12,S,coffin,"カン
kan"
1153,款,欠,12,S,goodwill,"カン
kan"
1154,閑,門,12,S,leisure,"カン
kan"
1155,勧,力,13,S,persuade,"カン、すす-める
kan, susu-meru"
1156,寛,宀,13,S,tolerant,"カン
kan"
1157,歓,欠,15,S,delight,"カン
kan"
1158,監,皿,15,S,oversee,"カン
kan"
1159,緩,糸,15,S,slacken,"カン、ゆる-い、ゆる-やか、ゆる-む、ゆる-める
kan, yuru-i, yuru-yaka, yuru-mu, yuru-meru"
1160,憾,心,16,S,remorse,"カン
kan"
1161,還,辵,16,S,send back,"カン
kan"
1162,環,玉,17,S,ring,"カン
kan"
1163,韓 [5],韋,18,S,Korea,"カン
kan"
1164,艦,舟,21,S,warship,"カン
kan"
1165,鑑,金,23,S,specimen,"カン、かんが-みる
kan, kanga-miru"
1166,含,口,7,S,include,"ガン、ふく-む、ふく-める
gan, fuku-mu, fuku-meru"
1167,玩,玉,8,S,trifle with,"ガン
gan"
1168,頑,頁,13,S,stubborn,"ガン
gan"
1169,企,人,6,S,plan,"キ、くわだ-てる
ki, kuwada-teru"
1170,伎,人,6,S,deed,"キ
ki"
1171,岐,山,7,S,branch off,"キ
ki"
1172,忌,心,7,S,mourning,"キ、い-む、い-まわしい
ki, i-mu, i-mawashii"
1173,奇,大,8,S,strange,"キ
ki"
1174,祈,示,8,S,pray,"キ、いの-る
ki, ino-ru"
1175,軌,車,9,S,rut,"キ
ki"
1176,既,无,10,S,previously,"キ、すで-に
ki, sude-ni"
1177,飢,食,10,S,hungry,"キ、う-える
ki, u-eru"
1178,鬼,鬼,10,S,ghost,"キ、おに
ki, oni"
1179,亀,龜,11,S,turtle,"キ、かめ
ki, kame"
1180,幾,幺,12,S,how many,"キ、いく
ki, iku"
1181,棋,木,12,S,chess piece,"キ
ki"
1182,棄,木,13,S,abandon,"キ
ki"
1183,毀,殳,13,S,destroy,"キ
ki"
1184,畿,田,15,S,capital,"キ
ki"
1185,輝,車,15,S,radiance,"キ、かがや-く
ki, kagaya-ku"
1186,騎,馬,18,S,equestrian,"キ
ki"
1187,宜,宀,8,S,best regards,"ギ
gi"
1188,偽,人,11,S,falsehood,"ギ、いつわ-る、にせ
gi, itsuwa-ru, nise"
1189,欺,欠,12,S,deceit,"ギ、あざむ-く
gi, azamu-ku"
1190,儀,人,15,S,ceremony,"ギ
gi"
1191,戯,戈,15,S,frolic,"ギ、たわむ-れる
gi, tawamu-reru"
1192,擬,手,17,S,mimic,"ギ
gi"
1193,犠,牛,17,S,sacrifice,"ギ
gi"
1194,菊,艸,11,S,chrysanthemum,"キク
kiku"
1195,吉,口,6,S,good luck,"キチ、キツ
kichi, kitsu"
1196,喫,口,12,S,consume,"キツ
kitsu"
1197,詰,言,13,S,packed,"キツ、つ-める、つ-まる、つ-む
kitsu, tsu-meru, tsu-maru, tsu-mu"
1198,却,卩,7,S,instead,"キャク
kyaku"
1199,脚,肉,11,S,leg,"キャク、（キャ）、あし
kyaku, (kya), ashi"
1200,虐,虍,9,S,tyrannize,"ギャク、しいた-げる
gyaku, shiita-geru"
1201,及,又,3,S,reach out,"キュウ、およ-ぶ、およ-び、およ-ぼす
kyū, oyo-bu, oyo-bi, oyo-bosu"
1202,丘,一,5,S,hill,"キュウ、おか
kyū, oka"
1203,朽,木,6,S,decay,"キュウ、く-ちる
kyū, ku-chiru"
1204,臼,臼,6,S,mortar,"キュウ、うす
kyū, usu"
1205,糾,糸,9,S,twist,"キュウ
kyū"
1206,嗅,口,13,S,smell,"キュウ、か-ぐ
kyū, ka-gu"
1207,窮,穴,15,S,hard up,"キュウ、きわ-める、きわ-まる
kyū, kiwa-meru, kiwa-maru"
1208,巨,工,5,S,gigantic,"キョ
kyo"
1209,拒,手,8,S,repel,"キョ、こば-む
kyo, koba-mu"
1210,拠,手,8,S,foothold,"キョ、コ
kyo, ko"
1211,虚,虍,11,S,void,"キョ、（コ）
kyo, (ko)"
1212,距,足,12,S,long-distance,"キョ
kyo"
1213,御,彳,12,S,honorable,"ギョ、ゴ、おん
gyo, go, on"
1214,凶,凵,4,S,villain,"キョウ
kyō"
1215,叫,口,6,S,shout,"キョウ、さけ-ぶ
kyō, sake-bu"
1216,狂,犬,7,S,lunatic,"キョウ、くる-う、くる-おしい
kyō, kuru-u, kuru-oshii"
1217,享,亠,8,S,receive,"キョウ
kyō"
1218,況,水,8,S,condition,"キョウ
kyō"
1219,峡,山,9,S,gorge,"キョウ
kyō"
1220,挟,手,9,S,pinch,"キョウ、はさ-む、はさ-まる
kyō, hasa-mu, hasa-maru"
1221,狭,犬,9,S,cramped,"キョウ、せま-い、せば-める、せば-まる
kyō, sema-i, seba-meru, seba-maru"
1222,恐,心,10,S,fear,"キョウ、おそ-れる、おそ-ろしい
kyō, oso-reru, oso-roshii"
1223,恭,心,10,S,respect,"キョウ、うやうや-しい
kyō, uyauya-shii"
1224,脅,肉,10,S,threaten,"キョウ、おびや-かす、おど-す、おど-かす
kyō, obiya-kasu, odo-su, odo-kasu"
1225,矯,矢,17,S,rectify,"キョウ、た-める
kyō, ta-meru"
1226,響,音,20,S,echo,"キョウ、ひび-く
kyō, hibi-ku"
1227,驚,馬,22,S,wonder,"キョウ、おどろ-く、おどろ-かす
kyō, odoro-ku, odoro-kasu"
1228,仰,人,6,S,face-up,"ギョウ、（コウ）、あお-ぐ、おお-せ
gyō, (kō), ao-gu, oo-se"
1229,暁,日,12,S,daybreak,"ギョウ、あかつき
gyō, akatsuki"
1230,凝,冫,16,S,congeal,"ギョウ、こ-る、こ-らす
gyō, ko-ru, ko-rasu"
1231,巾,巾,3,S,towel,"キン
kin"
1232,斤,斤,4,S,axe,"キン
kin"
1233,菌,艸,11,S,germ,"キン
kin"
1234,琴,玉,12,S,harp,"キン、こと
kin, koto"
1235,僅 [7],人,13,S,a wee bit,"キン、わず-か
kin, wazu-ka"
1236,緊,糸,15,S,tense,"キン
kin"
1237,錦,金,16,S,brocade,"キン、にしき
kin, nishiki"
1238,謹,言,17,S,discreet,"キン、つつし-む
kin, tsutsushi-mu"
1239,襟,衣,18,S,collar,"キン、えり
kin, eri"
1240,吟,口,7,S,versify,"ギン
gin"
1241,駆,馬,14,S,drive,"ク、か-ける、か-る
ku, ka-keru, ka-ru"
1242,惧,心,11,S,dread,"グ
gu"
1243,愚,心,13,S,foolish,"グ、おろ-か
gu, oro-ka"
1244,偶,人,11,S,accidentally,"グウ
gū"
1245,遇,辵,12,S,interview,"グウ
gū"
1246,隅,阜,12,S,corner,"グウ、すみ
gū, sumi"
1247,串,丨,7,S,skewer,"くし
kushi"
1248,屈,尸,8,S,yield,"クツ
kutsu"
1249,掘,手,11,S,dig,"クツ、ほ-る
kutsu, ho-ru"
1250,窟,穴,13,S,cavern,"クツ
kutsu"
1251,熊,火,14,S,bear,"くま
kuma"
1252,繰,糸,19,S,winding,"く-る
ku-ru"
1253,勲,力,15,S,meritorious deed,"クン
kun"
1254,薫,艸,16,S,fragrant,"クン、かお-る
kun, kao-ru"
1255,刑,刀,6,S,punish,"ケイ
kei"
1256,茎,艸,8,S,stalk,"ケイ、くき
kei, kuki"
1257,契,大,9,S,pledge,"ケイ、ちぎ-る
kei, chigi-ru"
1258,恵,心,10,S,favor,"ケイ、エ、めぐ-む
kei, e, megu-mu"
1259,啓,口,11,S,disclose,"ケイ
kei"
1260,掲,手,11,S,put up (a notice),"ケイ、かか-げる
kei, kaka-geru"
1261,渓,水,11,S,mountain stream,"ケイ
kei"
1262,蛍,虫,11,S,lightning-bug,"ケイ、ほたる
kei, hotaru"
1263,傾,人,13,S,lean,"ケイ、かたむ-く、かたむ-ける
kei, katamu-ku, katamu-keru"
1264,携,手,13,S,portable,"ケイ、たずさ-える、たずさ-わる
kei, tazusa-eru, tazusa-waru"
1265,継,糸,13,S,inherit,"ケイ、つ-ぐ
kei, tsu-gu"
1266,詣,言,13,S,visit a temple,"ケイ、もう-でる
kei, mō-deru"
1267,慶,心,15,S,jubilation,"ケイ
kei"
1268,憬,心,15,S,long for,"ケイ
kei"
1269,稽,禾,15,S,consider,"ケイ
kei"
1270,憩,心,16,S,recess,"ケイ、いこ-い、いこ-う
kei, iko-i, iko-u"
1271,鶏,鳥,19,S,chicken,"ケイ、にわとり
kei, niwatori"
1272,迎,辵,7,S,welcome,"ゲイ、むか-える
gei, muka-eru"
1273,鯨,魚,19,S,whale,"ゲイ、くじら
gei, kujira"
1274,隙,阜,13,S,fissure,"ゲキ、すき
geki, suki"
1275,撃,手,15,S,beat,"ゲキ、う-つ
geki, u-tsu"
1276,桁,木,10,S,beam,"けた
keta"
1277,傑,人,13,S,greatness,"ケツ
ketsu"
1278,肩,肉,8,S,shoulder,"ケン、かた
ken, kata"
1279,倹,人,10,S,frugal,"ケン
ken"
1280,兼,八,10,S,concurrently,"ケン、か-ねる
ken, ka-neru"
1281,剣,刀,10,S,sabre,"ケン、つるぎ
ken, tsurugi"
1282,拳,手,10,S,fist,"ケン、こぶし
ken, kobushi"
1283,軒,車,10,S,flats,"ケン、のき
ken, noki"
1284,圏,囗,12,S,sphere,"ケン
ken"
1285,堅,土,12,S,strict,"ケン、かた-い
ken, kata-i"
1286,嫌,女,13,S,dislike,"ケン、（ゲン）、きら-う、いや
ken, (gen), kira-u, iya"
1287,献,犬,13,S,offering,"ケン、（コン）
ken, (kon)"
1288,遣,辵,13,S,dispatch,"ケン、つか-う、つか-わす
ken, tsuka-u, tsuka-wasu"
1289,賢,貝,16,S,intelligent,"ケン、かしこ-い
ken, kashiko-i"
1290,謙,言,17,S,self-effacing,"ケン
ken"
1291,鍵,金,17,S,key,"ケン、かぎ
ken, kagi"
1292,繭,糸,18,S,cocoon,"ケン、まゆ
ken, mayu"
1293,顕,頁,18,S,appear,"ケン
ken"
1294,懸,心,20,S,suspend,"ケン、（ケ）、か-ける、か-かる
ken, (ke), ka-keru, ka-karu"
1295,幻,幺,4,S,phantasm,"ゲン、まぼろし
gen, maboroshi"
1296,玄,玄,5,S,mysterious,"ゲン
gen"
1297,弦,弓,8,S,bowstring,"ゲン、つる
gen, tsuru"
1298,舷,舟,11,S,gunwale,"ゲン
gen"
1299,股,肉,8,S,crotch,"コ、また
ko, mata"
1300,虎,虍,8,S,tiger,"コ、とら
ko, tora"
1301,孤,子,9,S,orphan,"コ
ko"
1302,弧,弓,9,S,arc,"コ
ko"
1303,枯,木,9,S,wither,"コ、か-れる、か-らす
ko, ka-reru, ka-rasu"
1304,雇,隹,12,S,employ,"コ、やと-う
ko, yato-u"
1305,誇,言,13,S,boast,"コ、ほこ-る
ko, hoko-ru"
1306,鼓,鼓,13,S,drum,"コ、つづみ
ko, tsuzumi"
1307,錮,金,16,S,tie up,"コ
ko"
1308,顧,頁,21,S,look back,"コ、かえり-みる
ko, kaeri-miru"
1309,互,二,4,S,mutually,"ゴ、たが-い
go, taga-i"
1310,呉,口,7,S,give,"ゴ
go"
1311,娯,女,10,S,recreation,"ゴ
go"
1312,悟,心,10,S,enlightenment,"ゴ、さと-る
go, sato-ru"
1313,碁,石,13,S,Go,"ゴ
go"
1314,勾,勹,4,S,capture,"コウ
kō"
1315,孔,子,4,S,cavity,"コウ
kō"
1316,巧,工,5,S,adroit,"コウ、たく-み
kō, taku-mi"
1317,甲,田,5,S,armor,"コウ、カン
kō, kan"
1318,江,水,6,S,inlet,"コウ、え
kō, e"
1319,坑,土,7,S,pit,"コウ
kō"
1320,抗,手,7,S,confront,"コウ
kō"
1321,攻,攴,7,S,aggression,"コウ、せ-める
kō, se-meru"
1322,更,曰,7,S,grow late,"コウ、さら、ふ-ける、ふ-かす
kō, sara, fu-keru, fu-kasu"
1323,拘,手,8,S,arrest,"コウ
kō"
1324,肯,肉,8,S,agreement,"コウ
kō"
1325,侯,人,9,S,marquis,"コウ
kō"
1326,恒,心,9,S,constancy,"コウ
kō"
1327,洪,水,9,S,deluge,"コウ
kō"
1328,荒,艸,9,S,laid waste,"コウ、あら-い、あ-れる、あ-らす
kō, ara-i, a-reru, a-rasu"
1329,郊,邑,9,S,outskirts,"コウ
kō"
1330,香,香,9,S,incense,"コウ、（キョウ）、か、かお-り、かお-る
kō, (kyō), ka, kao-ri, kao-ru"
1331,貢,貝,10,S,tribute,"コウ、（ク）、みつ-ぐ
kō, (ku), mitsu-gu"
1332,控,手,11,S,withdraw,"コウ、ひか-える
kō, hika-eru"
1333,梗,木,11,S,close up,"コウ
kō"
1334,喉,口,12,S,throat,"コウ、のど
kō, nodo"
1335,慌,心,12,S,disconcerted,"コウ、あわ-てる、あわ-ただしい
kō, awa-teru, awa-tadashii"
1336,硬,石,12,S,stiff,"コウ、かた-い
kō, kata-i"
1337,絞,糸,12,S,strangle,"コウ、しぼ-る、し-める、し-まる
kō, shibo-ru, shi-meru, shi-maru"
1338,項,頁,12,S,paragraph,"コウ
kō"
1339,溝,水,13,S,gutter,"コウ、みぞ
kō, mizo"
1340,綱,糸,14,S,hawser,"コウ、つな
kō, tsuna"
1341,酵,酉,14,S,fermentation,"コウ
kō"
1342,稿,禾,15,S,draft,"コウ
kō"
1343,衡,行,16,S,equilibrium,"コウ
kō"
1344,購,貝,17,S,subscription,"コウ
kō"
1345,乞,乙,3,S,beg,"こ-う
ko-u"
1346,拷,手,9,S,torture,"ゴウ
gō"
1347,剛,刀,10,S,sturdy,"ゴウ
gō"
1348,傲,人,13,S,be proud,"ゴウ
gō"
1349,豪,豕,14,S,overpowering,"ゴウ
gō"
1350,克,儿,7,S,overcome,"コク
koku"
1351,酷,酉,14,S,cruel,"コク
koku"
1352,獄,犬,14,S,prison,"ゴク
goku"
1353,駒,馬,15,S,horse,"こま
koma"
1354,込,辵,5,S,crowded,"こ-む、こ-める
ko-mu, ko-meru"
1355,頃,頁,11,S,times,"ころ
koro"
1356,昆,日,8,S,descendants,"コン
kon"
1357,恨,心,9,S,rancor,"コン、うら-む、うら-めしい
kon, ura-mu, ura-meshii"
1358,婚,女,11,S,marriage,"コン
kon"
1359,痕,疒,11,S,mark,"コン、あと
kon, ato"
1360,紺,糸,11,S,dark blue,"コン
kon"
1361,魂,鬼,14,S,soul,"コン、たましい
kon, tamashii"
1362,墾,土,16,S,ground-breaking,"コン
kon"
1363,懇,心,17,S,sociable,"コン、ねんご-ろ
kon, nengo-ro"
1364,佐,人,7,S,help,"サ
sa"
1365,沙,水,7,S,sand,"サ
sa"
1366,唆,口,10,S,tempt,"サ、そそのか-す
sa, sosonoka-su"
1367,詐,言,12,S,lie,"サ
sa"
1368,鎖,金,18,S,chain,"サ、くさり
sa, kusari"
1369,挫,手,10,S,sprain,"ザ
za"
1370,采,釆,8,S,form,"サイ
sai"
1371,砕,石,9,S,smash,"サイ、くだ-く、くだ-ける
sai, kuda-ku, kuda-keru"
1372,宰,宀,10,S,superintend,"サイ
sai"
1373,栽,木,10,S,plantation,"サイ
sai"
1374,彩,彡,11,S,coloring,"サイ、いろど-る
sai, irodo-ru"
1375,斎,齊,11,S,purification,"サイ
sai"
1376,債,人,13,S,bond,"サイ
sai"
1377,催,人,13,S,sponsor,"サイ、もよお-す
sai, moyoo-su"
1378,塞,土,13,S,obstruct,"サイ、ソク、ふさ-ぐ、ふさ-がる
sai, soku, fusa-gu, fusa-garu"
1379,歳,止,13,S,year-end,"サイ、（セイ）
sai, (sei)"
1380,載,車,13,S,ride,"サイ、の-せる、の-る
sai, no-seru, no-ru"
1381,埼,土,11,S,cape (geography),"（さい）[6]
(sai)"
1382,剤,刀,10,S,dose,"ザイ
zai"
1383,崎,山,11,S,promontory,"さき
saki"
1384,削,刀,9,S,plane,"サク、けず-る
saku, kezu-ru"
1385,柵,木,9,S,fence,"サク
saku"
1386,索,糸,10,S,cord,"サク
saku"
1387,酢,酉,12,S,vinegar,"サク、す
saku, su"
1388,搾,手,13,S,squeeze,"サク、しぼ-る
saku, shibo-ru"
1389,錯,金,16,S,confused,"サク
saku"
1390,咲,口,9,S,blossom,"さ-く
sa-ku"
1391,刹,刀,8,S,temple,"サツ、セツ
satsu, setsu"
1392,拶,手,9,S,be imminent,"サツ
satsu"
1393,撮,手,15,S,snapshot,"サツ、と-る
satsu, to-ru"
1394,擦,手,17,S,grate,"サツ、す-る、す-れる
satsu, su-ru, su-reru"
1395,桟,木,10,S,scaffold,"サン
san"
1396,惨,心,11,S,wretched,"サン、ザン、みじ-め
san, zan, miji-me"
1397,傘,人,12,S,umbrella,"サン、かさ
san, kasa"
1398,斬,斤,11,S,kill by slicing,"ザン、き-る
zan, ki-ru"
1399,暫,日,15,S,temporarily,"ザン
zan"
1400,旨,日,6,S,delicious,"シ、むね
shi, mune"
1401,伺,人,7,S,pay respects,"シ、うかが-う
shi, ukaga-u"
1402,刺,刀,8,S,thorn,"シ、さ-す、さ-さる
shi, sa-su, sa-saru"
1403,祉,示,8,S,welfare,"シ
shi"
1404,肢,肉,8,S,limb,"シ
shi"
1405,施,方,9,S,carry out,"シ、セ、ほどこ-す
shi, se, hodoko-su"
